date,equity_return,ig_return,hy_return
2002-07-31,-0.07900006304212182,0.006115680829830161,-0.03882273777829781
2002-08-31,0.004885813042510012,0.03637594125190868,0.024958909113045546
2002-09-30,-0.11002223621916596,0.020912807227291497,-0.015560966918097052
2002-10-31,0.08644564119081855,-0.00610773516205676,-0.008416289592760196
2002-11-30,0.05707083524882073,0.007159058206064772,0.06254753430075133
2002-12-31,-0.060337156269010594,0.03927989395619047,0.014544621639419386
2003-01-31,-0.027413817226745962,-0.008114124323062022,0.030026809651474418
2003-02-28,-0.017003274161887738,0.01979816586345584,0.013452423354064491
2003-03-31,0.008356533708248515,0.0012081226159690317,0.02638550959718855
2003-04-30,0.08104029419251346,0.023578738514390407,0.0581309592793553
2003-05-31,0.05089975526656754,0.039051999774511126,0.011450476688322997
2003-06-30,0.011326535398783033,-0.0018023021080249002,0.028006792508552092
2003-07-31,0.01622163714779523,-0.05806073947103385,-0.013550070623159494
2003-08-31,0.017876442390853953,0.014507284701780643,0.012765441087246643
2003-09-30,-0.011951047016201533,0.045375028177401244,0.027150080276053812
2003-10-31,0.05497089105413622,-0.012630818071496352,0.02074001493094446
2003-11-30,0.007128578422452403,0.00307218244564611,0.013804767673073925
2003-12-31,0.050756918913121174,0.025719425736843604,0.02373920688955522
2004-01-31,0.01727783859873533,0.012209895189757347,0.016141818982602807
2004-02-29,0.012213392092419006,0.015069446390060692,-0.0011052597360379224
2004-03-31,-0.016359342537932586,0.009891444349568568,0.006682287598715586
2004-04-30,-0.016787964180088544,-0.03887695278976677,-0.006594827586206886
2004-05-31,0.01208194889067582,-0.005230959006867653,-0.015728728250965385
2004-06-30,0.017982245116193507,0.0012640534572090356,0.014547378165707947
2004-07-31,-0.03428732413329327,0.015624514947882417,0.013469769058636949
2004-08-31,0.0022846107638661017,0.030809355087010992,0.01817831036035078
2004-09-30,0.009370004466434878,0.0031144661808084617,0.013916668421163347
2004-10-31,0.014010619755494114,0.011829784411657496,0.019290668217118778
2004-11-30,0.03859957064202213,-0.012198887015436477,0.010389716218143441
2004-12-31,0.032451193930812305,0.013909656012862426,0.015081557352259134
2005-01-31,-0.025289040175464295,0.012283462352823182,-0.0010130102294170218
2005-02-28,0.01890510714714133,-0.009362442804783488,0.014295939873543606
2005-03-31,-0.019116980797858174,-0.012622883518853323,-0.027326367788602868
2005-04-30,-0.020111454357305214,0.016216367959561495,-0.01072169934903966
2005-05-31,0.029953991342851927,0.0062269266757748465,0.017906981481858875
2005-06-30,-0.00014443981815526197,0.012198814483432852,0.019032942400832642
2005-07-31,0.03596987092383319,-0.008264943048569284,0.015692204961014866
2005-08-31,-0.011220815124542316,0.015031089745857873,0.0036159022352850734
