date,return
2022-01-31,-0.04455508609241965
2022-02-28,-0.019463439677605887
2022-03-31,0.01914582706110468
2022-04-30,-0.06633062591542982
2022-05-31,0.006540467183201448
2022-06-30,-0.044186619448436826
2022-07-31,0.05693935131677619
2022-08-31,-0.02853413984244013
2022-09-30,-0.05439950407359029
2022-10-31,0.026327001693022378
2022-11-30,0.0418968403822404
2022-12-31,-0.02079861863981536
2023-01-31,0.04883204954869358
2023-02-28,-0.02057596454072519
2023-03-31,0.0298443150983716
2023-04-30,0.016481931283561346
2023-05-31,0.0013755341565939716
2023-06-30,0.04746394884783256
2023-07-31,0.026270095447696873
2023-08-31,-0.007738971907735759
2023-09-30,-0.03383282066857085
2023-10-31,-0.015294712870351113
2023-11-30,0.07831366845322574
2023-12-31,0.046985159686751654
2024-01-31,0.014291035660523033
2024-02-29,0.04752077224512141
2024-03-31,0.03270443645124299
2024-04-30,-0.033953437054250135
2024-05-31,0.04774901858670044
2024-06-30,0.03557408532835482
2024-07-31,0.019950260787110707
2024-08-31,0.026642652713500192
2024-09-30,0.024338855928216052
2024-10-31,-0.006589558956199726
2024-11-30,0.055129328831241775
2024-12-31,-0.018910304759438
2025-01-31,0.029525557276511183
2025-02-28,0.0008439811520308815
2025-03-31,-0.03409777904648825
2025-04-30,5.1405051302078064e-05
2025-05-31,0.04435861801783281
2025-06-30,0.041811703668351186
2025-07-31,0.017815256520946177
2025-08-31,0.020756196133784988
2025-09-30,0.02989239802777033
2025-10-31,0.01982465280721013
2025-11-30,0.007039740521398663
2025-12-31,0.0037041439289211553
2026-01-31,0.014380118012168097
2026-02-28,0.0025533018487491344
2026-03-31,-0.03174028637730708
2026-04-30,0.08301804924286849
2026-05-31,0.04137924727189035
